left_win,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute,kills_per_game, deaths_per_game, game_length, ckpm, gpr, gspd, gd15, firstblood, firsttower, first3towers, turret_plates_per_game, harold_control_rate, firstdragon, dragon_control_rate, elder_control_rate, baron_control_rate, firstbaron, cs_share, jng_share, wards_per_minute, control_wards_purchased_per_minute, wards_cleared_per_minute
0,9,19,28.55,0.9807,0.4721779168798339,-0.0283123,107.0,1.0,1.0,1.0,5.0,1.0,0.0,0.25,0.5,0.5,0.0,0.6481481481481481,0.46511627906976744,2.5919,1.1558669001751314,1.7863,19,9,28.55,0.9807,0.5278220831201661,0.0283123,-107.0,0.0,0.0,0.0,0.0,0,1.0,0.75,0.5,0.5,0.0,0.8079470198675497,0.5348837209302325,3.2574,1.5761821366024518,1.7863
0,3,16,35.233333333333334,0.5393,0.4480110080616949,-0.207137,-1763.0,0.0,0.0,0.0,2.0,0.5,0.0,0.2,0.5,0.0,0.0,0.7166567871962063,0.4684095860566449,3.3775,1.3339640491958373,1.561,16,3,35.233333333333334,0.5393,0.5519889919383051,0.207137,1763.0,1.0,1.0,1.0,3.0,0.5,1.0,0.8,0.5,1.0,1.0,0.7407189157336476,0.5315904139433552,3.6613,1.8448438978240302,1.9868
1,14,5,32.86666666666667,0.5781,0.5464644269633622,0.165672,1191.0,0.0,1.0,1.0,1.0,0.5,1.0,0.8,0.5,1.0,1.0,0.6999387630128597,0.5873362445414847,3.6207,2.0689655172413794,1.5517,5,14,32.86666666666667,0.5781,0.45353557303663783,-0.165672,-1191.0,1.0,0.0,0.0,4.0,0.5,0.0,0.2,0.5,0.0,0.0,0.7199211045364892,0.4126637554585153,3.073,1.3691683569979716,1.643
0,16,13,41.46666666666667,0.6994,0.4703764519037941,-0.0642274,550.0,1.0,1.0,1.0,4.0,0.5,0.0,0.6666666666666666,0.0,0.0,0.0,0.6983783783783784,0.40699815837937386,3.3039,1.6398713826366558,2.1945,13,16,41.46666666666667,0.6994,0.5296235480962058,0.0642274,-550.0,0.0,0.0,0.0,0.0,0.5,1.0,0.3333333333333333,1.0,1.0,1.0,0.7272727272727273,0.5930018416206262,4.3891,1.2057877813504823,1.7605
1,13,8,33.666666666666664,0.6238,0.5459634524806143,0.11617100000000001,1478.0,0.0,1.0,1.0,6.0,1.0,0.0,0.2,1.0,1.0,1.0,0.7202141900937081,0.49,2.9703,1.5445544554455446,1.604,8,13,33.666666666666664,0.6238,0.45403654751938577,-0.11617100000000001,-1478.0,1.0,0.0,0.0,4.0,0,1.0,0.8,0.0,0.0,0.0,0.7425876010781671,0.51,2.8218,1.217821782178218,1.4257
1,20,23,48.5,0.8866,0.4870419967272336,-0.08490650000000001,2579.0,1.0,1.0,1.0,7.0,1.0,1.0,0.625,0.5,0.5,0.0,0.659702878365831,0.5169230769230769,2.5567,1.0309278350515463,1.4639,23,20,48.5,0.8866,0.5129580032727664,0.08490650000000001,-2579.0,0.0,0.0,0.0,2.0,0,0.0,0.375,0.5,0.5,1.0,0.7232796486090776,0.48307692307692307,3.0722,0.865979381443299,1.1546
0,14,21,34.916666666666664,1.0024,0.47443030941817615,-0.15048599999999998,-1350.0,0.0,1.0,0.0,6.0,0.5,0.0,0.5,0.5,0.0,0.0,0.7430044182621502,0.5012853470437018,2.9212,1.0883054892601434,1.2315,21,15,34.916666666666664,1.0024,0.5255696905818238,0.15048599999999998,1350.0,0.0,0.0,1.0,6.0,0.5,1.0,0.5,0.5,1.0,1.0,0.6929133858267716,0.4987146529562982,3.179,1.5465393794749405,1.432
1,22,11,36.333333333333336,0.9083,0.5414475962597991,0.14440799999999998,-210.0,0.0,1.0,1.0,4.0,0,0.0,0.5,0.5,1.0,1.0,0.7231063017186505,0.5882352941176471,3.3303,1.5412844036697246,1.1835,11,22,36.333333333333336,0.9083,0.45855240374020084,-0.14440799999999998,210.0,1.0,0.0,0.0,2.0,1.0,1.0,0.5,0.5,0.0,0.0,0.7207267833109018,0.4117647058823529,2.9174,1.3761467889908257,1.3211
1,29,14,33.86666666666667,1.2402,0.5525289683258632,0.12762300000000001,-686.0,0.0,1.0,1.0,4.0,1.0,0.0,0.6,0.5,1.0,1.0,0.7432795698924731,0.5815602836879432,3.1299,1.2992125984251968,1.2697,13,29,33.86666666666667,1.2402,0.4474710316741369,-0.12762300000000001,686.0,1.0,0.0,0.0,1.0,0,1.0,0.4,0.5,0.0,0.0,0.6821917808219178,0.41843971631205673,2.6575,1.0039370078740157,1.2402
0,5,13,35.36666666666667,0.509,0.4576527753385018,-0.09503239999999999,-27.0,1.0,0.0,0.0,3.0,0,1.0,0.4,0.5,0.0,0.0,0.7413680781758958,0.4486607142857143,3.6475,1.2723845428840717,1.3289,13,5,35.36666666666667,0.509,0.5423472246614982,0.09503239999999999,27.0,0.0,1.0,1.0,8.0,1.0,0.0,0.6,0.5,1.0,1.0,0.6942401960784313,0.5513392857142857,2.9689,1.2158341187558908,1.5551
