100 Thieves,8.833333333333334,13.833333333333334,30.7,0.74,-1.05,-0.121,-732,0.33,0.5,0.33,4.3,0.67,0.33,0.33,0.3,0.43,0.33,0.478,0.456,3.04,1.18,1.34
Cloud9,6.666666666666667,14.666666666666666,27.2,0.78,-1.92,-0.155,-1957,0.5,0.33,0.17,2.5,0.33,0.5,0.33,0.3,0.29,0.17,0.48100000000000004,0.45,2.58,0.79,0.99
CTBC Flying Oyster,8.0,19.666666666666668,31.7,0.87,-1.31,-0.099,-1300,0.67,0.5,0.17,4.3,0.17,0.5,0.24,0.3,0.22,0.33,0.499,0.444,3.29,1.25,1.32
DRX,13.583333333333334,9.833333333333334,33.9,0.69,1.41,0.092,1589,0.58,0.83,0.92,5.6,0.75,0.58,0.5,0.0,0.67,0.75,0.507,0.535,3.68,1.44,1.81
DWG KIA,14.5,11.083333333333334,31.6,0.81,1.53,0.08,2262,0.42,1.0,0.83,7.5,0.78,0.58,0.7,0.3,0.71,0.75,0.489,0.5379999999999999,3.59,1.47,1.44
EDward Gaming,13.090909090909092,11.181818181818182,33.5,0.73,0.23,0.01,673,0.73,0.55,0.36,4.6,0.64,0.45,0.5,1.0,0.56,0.55,0.499,0.506,3.23,1.23,1.73
Evil Geniuses,8.833333333333334,16.0,28.7,0.86,-1.02,-0.09300000000000001,-1522,0.33,0.33,0.17,5.3,0.45,0.5,0.33,0.3,0.33,0.17,0.489,0.467,2.66,0.83,1.34
Fnatic,9.5,13.833333333333334,30.8,0.76,-1.36,-0.069,-1452,0.17,0.17,0.33,3.8,0.33,0.5,0.43,0.3,0.2,0.33,0.51,0.485,2.79,0.87,1.12
G2 Esports,9.166666666666666,14.0,30.1,0.77,-2.19,-0.10300000000000001,-1714,0.67,0.17,0.17,4,0.17,0.17,0.3,0.3,0.22,0.33,0.498,0.414,2.99,0.88,1.35
GAM Esports,9.0,17.833333333333332,31.6,0.85,-2.35,-0.134,-2729,0.33,0.17,0.17,2.8,0.25,0.67,0.52,0.0,0.13,0.17,0.486,0.47600000000000003,3.89,1.22,1.46
Gen.G,14.333333333333334,8.833333333333334,30.5,0.76,0.57,0.07,90,0.75,0.25,0.58,4.8,0.33,0.58,0.56,0.3,0.64,0.58,0.519,0.5329999999999999,3.07,1.27,1.79
JD Gaming,16.2,11.6,31,0.9,0.8,0.06,786,0.4,0.5,0.7,5.8,0.7,0.5,0.48,0.3,0.67,0.5,0.513,0.568,3.45,1.24,1.94
Rogue,11.0,12.3,31,0.75,-0.69,-0.066,-1452,0.5,0.4,0.3,3.4,0.25,0.3,0.52,0.3,0.46,0.3,0.49200000000000005,0.45399999999999996,2.89,0.88,1.49
Royal Never Give Up,13.2,12.0,31.6,0.8,0.19,0.006999999999999999,-7,0.5,0.4,0.6,4,0.6,0.6,0.63,0.0,0.42,0.4,0.499,0.509,3.06,1.17,1.66
T1,17.0,9.555555555555555,29.4,0.9,1.27,0.134,1492,0.22,0.78,0.78,6.7,0.61,0.44,0.59,1.0,0.82,0.78,0.508,0.517,3.36,1.45,1.14
Top Esports,13.666666666666666,11.833333333333334,31.5,0.81,0.76,0.069,1176,0.67,0.5,0.5,6.5,0.42,0.67,0.57,1.0,0.63,0.67,0.51,0.509,3.32,1.4,1.86
